provider,component_id,component_name,component_type,lat,lon,sensor_id
AFORAMENT-EST,080180-005,Balsareny (Llobregat),aforament,41.859536325,1.880218115,080180-005-ANA001
AFORAMENT-EST,080180-005,Balsareny (Llobregat),aforament,41.859536325,1.880218115,080180-005-ANA005
AFORAMENT-EST,080180-005,Balsareny (Llobregat),aforament,41.859536325,1.880218115,CALC001230
AFORAMENT-EST,080478-006,Cardona (Cardener),aforament,41.920666218,1.696075185,080478-006-ANA001
AFORAMENT-EST,080478-006,Cardona (Cardener),aforament,41.920666218,1.696075185,080478-006-ANA003
AFORAMENT-EST,080478-006,Cardona (Cardener),aforament,41.920666218,1.696075185,CALC001241
AFORAMENT-EST,080538-005,Castellbell i el Vilar (Llobregat),aforament,41.646561643,1.858396556,080538-005-ANA001
AFORAMENT-EST,080538-005,Castellbell i el Vilar (Llobregat),aforament,41.646561643,1.858396556,CALC001244
AFORAMENT-EST,080543-002,Castellbisbal (Llobregat),aforament,41.484600949,1.933089949,080543-002-ANA001
AFORAMENT-EST,080543-002,Castellbisbal (Llobregat),aforament,41.484600949,1.933089949,CALC001446
AFORAMENT-EST,080581-002,Q sortida Embassament de Foix (Foix),aforament,41.253617318,1.651034658,CALC000001
AFORAMENT-EST,080581-002,Q sortida Embassament de Foix (Foix),aforament,41.253617318,1.651034658,CALC001635
AFORAMENT-EST,080581-003,Castellet i la Gornal (Foix),aforament,41.265610897,1.633829253,080581-003-ANA01
AFORAMENT-EST,080581-003,Castellet i la Gornal (Foix),aforament,41.265610897,1.633829253,CALC001670
AFORAMENT-EST,080885-001,La Garriga (Congost),aforament,41.697144449,2.284059329,080885-001-ANA001
AFORAMENT-EST,080885-001,La Garriga (Congost),aforament,41.697144449,2.284059329,CALC001212
AFORAMENT-EST,081081-001,Lliçà de Vall (Tenes),aforament,41.58640814,2.2456452,081081-001-ANA002
AFORAMENT-EST,081081-001,Lliçà de Vall (Tenes),aforament,41.58640814,2.2456452,CALC001214
AFORAMENT-EST,081141-002,Martorell (Anoia),aforament,41.47770205,1.929286623,081141-002-ANA001
AFORAMENT-EST,081141-002,Martorell (Anoia),aforament,41.47770205,1.929286623,CALC001836
