provider,component_id,component_name,component_type,lat,lon,sensor_id
EMBASSAMENT-EST,080581-002,Embassament de Foix (Foix),embassament,41.255617318,1.651034658,080581-002-ANA006
EMBASSAMENT-EST,080581-002,Embassament de Foix (Foix),embassament,41.255617318,1.651034658,CALC000004
EMBASSAMENT-EST,081419-003,Embassament de La Llosa del Cavall (Cardener),embassament,42.099784969,1.58285827,081419-003-ANA005
EMBASSAMENT-EST,081419-003,Embassament de La Llosa del Cavall (Cardener),embassament,42.099784969,1.58285827,CALC000698
EMBASSAMENT-EST,081419-003,Embassament de La Llosa del Cavall (Cardener),embassament,42.099784969,1.58285827,CALC000722
EMBASSAMENT-EST,082687-001,Embassament de La Baells (Llobregat),embassament,42.122014524,1.878559556,082687-001-ANA015
EMBASSAMENT-EST,082687-001,Embassament de La Baells (Llobregat),embassament,42.122014524,1.878559556,CALC000697
EMBASSAMENT-EST,082687-001,Embassament de La Baells (Llobregat),embassament,42.122014524,1.878559556,CALC000713
EMBASSAMENT-EST,250753-004,Embassament de Sant Ponç (Cardener),embassament,41.962942293,1.605613258,250753-004-ANA010
EMBASSAMENT-EST,250753-004,Embassament de Sant Ponç (Cardener),embassament,41.962942293,1.605613258,CALC000699
EMBASSAMENT-EST,250753-004,Embassament de Sant Ponç (Cardener),embassament,41.962942293,1.605613258,CALC000735
EMBASSAMENT-EST,080581-002,Embassament de Foix (Foix),embassament,41.255617318,1.651034658,CALC001634
